Date,AsianPaints Open,AsianPaints High,AsianPaints Low,AsianPaints close,AsianPaints Adj Close,Asian paintsVolume,DMart Open,DMart High,DMart Low,DMart Close,Dmart Adj Close,DMart Volume,,Dropdown for Comparison,,,,,,,,,,,,,,,,Date,DMart Open,AsianPaints Open
11/15/2021,3126,3180,3126,3168.699951,3146.00415,696377,5080,5081.600098,4984.25,5019.200195,5019.200195,13206,1,DMart Open,,AsianPaints ,,,,,,,,,,,,,,11/15/2021,5080,3126
11/16/2021,3165,3209,3120.100098,3151.699951,3129.125977,1400107,5045,5098.950195,4985,5082.200195,5082.200195,25465,2,AsianPaints Open,,Dmart,,,,,,,,,,,,,,11/16/2021,5045,3165
11/17/2021,3170,3239.899902,3165.050049,3230.25,3207.113281,1616452,5080,5177.450195,5078,5124.100098,5124.100098,46972,,DMart,,,,,,,,,,,,,,,,11/17/2021,5080,3170
11/18/2021,3249.85,3260,3214,3226.850098,3203.737793,1609821,5124.100098,5178.549805,5040,5082.799805,5082.799805,30575,,,,,,,,,,,,,,,,,,11/18/2021,5124.100098,3249.850098
11/22/2021,3241,3308.350098,3215.050049,3261.25,3237.891357,2146970,5082,5085.049805,4785.350098,4829,4829,86708,,,,,,,,,,,,,,,,,,11/22/2021,5082,3241
11/23/2021,3261.25,3288.300049,3171.550049,3185.550049,3162.733643,1482618,4766.399902,4919.700195,4754.299805,4841.75,4841.75,45250,,,,,,,,,,,,,,,,,,11/23/2021,4766.399902,3261.25
11/24/2021,3186.050049,3208.899902,3150,3157,3134.387939,1056213,4880,4959.950195,4853,4882.049805,4882.049805,15717,,,,,,,,,,,,,,,,,,11/24/2021,4880,3186.050049
11/25/2021,3156.5,3173.350098,3113,3144.25,3121.729492,728825,4915,4930.049805,4855.700195,4891.600098,4891.600098,8358,,,,,,,,,,,,,,,,,,11/25/2021,4915,3156.5
11/26/2021,3101,3167.350098,3091,3143.100098,3120.587891,1029110,4874,4874,4703,4718.75,4718.75,27619,,,,,,,,,,,,,,,,,,11/26/2021,4874,3101
11/29/2021,3131,3178.899902,3071.899902,3144.300049,3121.779053,876651,4650,4718.75,4385.75,4675.299805,4675.299805,93170,,,,,,,,,,,,,,,,,,11/29/2021,4650,3131
11/30/2021,3116.149902,3189,3116.149902,3143.649902,3121.133545,2340489,4677,4800,4646.399902,4706.75,4706.75,43538,,,,,,,,,,,,,,,,,,11/30/2021,4677,3116.149902
12/1/2021,3155.899902,3199.75,3124.100098,3138.149902,3115.673096,1741820,4725,4842.450195,4670,4694.75,4694.75,22164,,,,,,,,,,,,,,,,,,12/1/2021,4725,3155.899902
12/2/2021,3160,3194,3152.25,3180.600098,3157.819336,939320,4741.049805,4795,4713.700195,4785.549805,4785.549805,30818,,,,,,,,,,,,,,,,,,12/2/2021,4741.049805,3160
12/3/2021,3185,3187.449951,3106,3110.449951,3088.171387,1216263,4813.549805,4850,4775.600098,4800.450195,4800.450195,28730,,,,,,,,,,,,,,,,,,12/3/2021,4813.549805,3185
12/6/2021,3115,3115,3028.25,3038.300049,3016.53833,1107363,4822,4822,4580.450195,4596.549805,4596.549805,47806,,,,,,,,,,,,,,,,,,12/6/2021,4822,3115
12/7/2021,3040,3069,3016.449951,3030.350098,3008.645264,2056459,4678,4716,4610.950195,4660.899902,4660.899902,31897,,,,,,,,,,,,,,,,,,12/7/2021,4678,3040
12/8/2021,3031.899902,3123,3031,3108.5,3086.235596,1171484,4709.75,4840,4709.75,4816.350098,4816.350098,44443,,,,,,,,,,,,,,,,,,12/8/2021,4709.75,3031.899902
12/9/2021,3152.399902,3183.050049,3111,3178.699951,3155.932617,1287243,4839.5,4875.200195,4777.5,4820.799805,4820.799805,29450,,,,,,,,,,,,,,,,,,12/9/2021,4839.5,3152.399902
12/10/2021,3184,3292,3178.699951,3283.149902,3259.634521,2554394,4810,4810,4775.450195,4795.850098,4795.850098,6939,,,,,,,,,,,,,,,,,,12/10/2021,4810,3184
12/13/2021,3285.100098,3341,3270.949951,3279.850098,3256.358154,1265832,4839,4871.549805,4751,4766.600098,4766.600098,12164,,,,,,,,,,,,,,,,,,12/13/2021,4839,3285.100098
12/14/2021,3274,3305,3249,3297.5,3273.881836,863179,4770,4837.75,4716.049805,4814.049805,4814.049805,74491,,,,,,,,,,,,,,,,,,12/14/2021,4770,3274
12/15/2021,3278.149902,3313.949951,3266.5,3301.949951,3278.299805,811946,4785.299805,4810.5,4741,4750.350098,4750.350098,9857,,,,,,,,,,Open,4131.100098,,,,,,,12/15/2021,4785.299805,3278.149902
12/16/2021,3325,3325,3270.600098,3298.600098,3274.973877,502930,4790,4812.399902,4726.850098,4739.5,4739.5,17018,,,,,,,,,,High,4141.350098,,,,,,,12/16/2021,4790,3325
12/17/2021,3275,3293.300049,3227.699951,3243.699951,3220.467041,1019403,4780,4788,4671.75,4696.899902,4696.899902,11790,,,,,,,,,,Low,4083.100098,,,,,,,12/17/2021,4780,3275
12/20/2021,3227,3275,3181,3239.449951,3216.247314,948872,4683,4686.799805,4553.600098,4615.850098,4615.850098,20601,,,,,,,,,,52 Week High,5178.549805,,,,,,,12/20/2021,4683,3227
12/21/2021,3247,3296,3240,3271.350098,3247.919189,712026,4615,4678.100098,4572,4586.850098,4586.850098,12352,,,,,,,,,,52 Week Low,3185.100098,,,,,,,12/21/2021,4615,3247
12/22/2021,3275.699951,3285.649902,3241,3280.100098,3256.606445,619865,4605,4695.149902,4587.149902,4655.299805,4655.299805,20699,,,,,,,,,,,,,,,,,,12/22/2021,4605,3275.699951
